week,game_id,playoff,home_team,home_score,away_score,away_team,favorite,spread,over_under
1,1,FALSE,Kansas City,20,21,Detroit,KC,-4.0,53.5
1,2,FALSE,Atlanta,24,10,Carolina,ATL,-3.0,43.0
1,3,FALSE,Baltimore,25,9,Houston,BAL,-9.0,44.5
1,4,FALSE,Chicago,20,38,Green Bay,CHI,-2.5,44.5
1,5,FALSE,Cincinnati,3,24,Cleveland,CIN,-1.0,46.5
1,6,FALSE,Jacksonville,31,21,Indianapolis,JAX,-3.5,43.5
1,7,FALSE,Minnesota,17,20,Tampa Bay,MIN,-4.0,45.5
1,8,FALSE,New Orleans,16,15,Tennessee,NO,-3.5,41.5
1,9,FALSE,San Francisco,30,7,Pittsburgh,SF,-2.5,40.5
1,10,FALSE,Washington,20,16,Arizona,WAS,-6.0,40.5
1,11,FALSE,Denver,16,17,Las Vegas,DEN,-2.5,44.5
1,12,FALSE,Los Angeles (C),34,36,Miami,LAC,-2.5,49.5
1,13,FALSE,Philadelphia,25,20,New England,PHI,-4.0,45.5
1,14,FALSE,Seattle,13,30,Los Angeles (R),SEA,-5.5,46.5
1,15,FALSE,Dallas,40,0,New York (G),DAL,-3.0,46.5
1,16,FALSE,Buffalo,16,22,New York (J),BUF,-1.5,47.5
2,17,FALSE,Philadelphia,34,28,Minnesota,PHI,-6.0,49.0
2,18,FALSE,Atlanta,25,24,Green Bay,ATL,-3.0,40.5
2,19,FALSE,Buffalo,38,10,Las Vegas,BUF,-8.0,47.0
2,20,FALSE,Cincinnati,24,27,Baltimore,CIN,-3.5,45.5
2,21,FALSE,Detroit,31,37,Seattle,DET,-4.5,47.0
2,22,FALSE,Houston,20,31,Indianapolis,HOU,-1.0,40.0
2,23,FALSE,Kansas City,17,9,Jacksonville,KC,-3.5,51.0
2,24,FALSE,Tampa Bay,27,17,Chicago,TB,-2.5,42.0
2,25,FALSE,Los Angeles (C),24,27,Tennessee,LAC,-2.5,45.5
2,26,FALSE,New York (G),31,28,Arizona,NYG,-4.5,36.5
2,27,FALSE,San Francisco,30,23,Los Angeles (R),SF,-7.5,44.5
2,28,FALSE,Dallas,30,10,New York (J),DAL,-8.5,38.5
2,29,FALSE,Denver,33,35,Washington,DEN,-4.0,38.5
2,30,FALSE,Miami,24,17,New England,MIA,-2.0,46.5
2,31,FALSE,New Orleans,20,17,Carolina,NO,-3.0,39.5
2,32,FALSE,Cleveland,22,26,Pittsburgh,CLE,-2.5,39.0
3,33,FALSE,San Francisco,30,12,New York (G),SF,-10.5,43.5
3,34,FALSE,Baltimore,19,22,Indianapolis,BAL,-7.5,44.5
3,35,FALSE,Cleveland,27,3,Tennessee,CLE,-3.5,38.0
3,36,FALSE,Detroit,20,6,Atlanta,DET,-3.0,47.5
3,37,FALSE,Green Bay,18,17,New Orleans,GB,-1.5,41.5
3,38,FALSE,Jacksonville,17,37,Houston,JAX,-9.5,43.5
3,39,FALSE,Miami,70,20,Denver,MIA,-6.0,47.5
3,40,FALSE,Minnesota,24,28,Los Angeles (C),MIN,-1.0,53.0
3,41,FALSE,New England,15,10,New York (J),NE,-2.5,35.5
3,42,FALSE,Buffalo,37,3,Washington,BUF,-4.5,43.5
3,43,FALSE,Seattle,37,27,Carolina,SEA,-5.0,43.0
3,44,FALSE,Dallas,16,28,Arizona,DAL,-11.5,43.5
3,45,FALSE,Kansas City,41,10,Chicago,KC,-13.0,48.5
3,46,FALSE,Las Vegas,18,23,Pittsburgh,LV,-3.0,43.5
3,47,FALSE,Philadelphia,25,11,Tampa Bay,PHI,-6.0,44.0
3,48,FALSE,Cincinnati,19,16,Los Angeles (R),CIN,-3.0,45.5
4,49,FALSE,Detroit,34,20,Green Bay,DET,-2.5,45.0
4,50,FALSE,Jacksonville,23,7,Atlanta,JAX,-3.5,42.5
4,51,FALSE,Buffalo,48,20,Miami,BUF,-2.5,53.0
4,52,FALSE,Minnesota,21,13,Carolina,MIN,-4.5,46.5
4,53,FALSE,Denver,31,28,Chicago,DEN,-3.0,47.0
4,54,FALSE,Baltimore,28,3,Cleveland,BAL,-2.5,41.0
4,55,FALSE,Pittsburgh,6,30,Houston,PIT,-3.0,41.5
4,56,FALSE,Los Angeles (R),29,23,Indianapolis,LAR,-1.0,44.5
4,57,FALSE,New Orleans,9,26,Tampa Bay,NO,-4.5,41.0
4,58,FALSE,Philadelphia,34,31,Washington,PHI,-9.5,43.0
4,59,FALSE,Cincinnati,3,27,Tennessee,CIN,-2.5,41.5
4,60,FALSE,Los Angeles (C),24,17,Las Vegas,LAC,-5.5,48.5
4,61,FALSE,Dallas,38,3,New England,DAL,-6.5,43.5
4,62,FALSE,San Francisco,35,16,Arizona,SF,-16.5,44.5
4,63,FALSE,Kansas City,23,20,New York (J),KC,-9.5,41.5
4,64,FALSE,Seattle,24,3,New York (G),SEA,-2.5,46.5
5,65,FALSE,Washington,20,40,Chicago,WAS,-6.0,44.5
5,66,FALSE,Buffalo,20,25,Jacksonville,BUF,-5.5,48.5
5,67,FALSE,Atlanta,21,19,Houston,ATL,-2.5,42.0
5,68,FALSE,Detroit,42,24,Carolina,DET,-9.5,43.5
5,69,FALSE,Tennessee,16,23,Indianapolis,TEN,-2.5,43.5
5,70,FALSE,Miami,31,16,New York (G),MIA,-13.0,47.5
5,71,FALSE,New England,0,34,New Orleans,NE,-1.5,38.5
5,72,FALSE,Baltimore,10,17,Pittsburgh,BAL,-4.5,38.5
5,73,FALSE,Cincinnati,34,20,Arizona,CIN,-3.0,45.5
5,74,FALSE,Philadelphia,23,14,Los Angeles (R),PHI,-3.5,49.5
5,75,FALSE,Denver,21,31,New York (J),DEN,-2.5,42.5
5,76,FALSE,Kansas City,27,20,Minnesota,KC,-3.5,52.5
5,77,FALSE,San Francisco,42,10,Dallas,SF,-3.5,45.0
5,78,FALSE,Las Vegas,17,13,Green Bay,LV,-1.5,44.5
6,79,FALSE,Kansas City,19,8,Denver,KC,-10.5,47.5
6,80,FALSE,Baltimore,24,16,Tennessee,BAL,-5.0,42.5
6,81,FALSE,Atlanta,16,24,Washington,ATL,-1.5,41.5
6,82,FALSE,Minnesota,19,13,Chicago,MIN,-3.0,44.5
6,83,FALSE,Cincinnati,17,13,Seattle,CIN,-3.0,45.5
6,84,FALSE,San Francisco,17,19,Cleveland,SF,-9.5,35.5
6,85,FALSE,New Orleans,13,20,Houston,NO,-2.5,41.5
6,86,FALSE,Jacksonville,37,20,Indianapolis,JAX,-4.5,43.5
6,87,FALSE,Miami,42,21,Carolina,MIA,-14.0,47.5
6,88,FALSE,Las Vegas,21,17,New England,LV,-2.5,42.5
6,89,FALSE,Los Angeles (R),26,9,Arizona,LAR,-7.0,47.5
6,90,FALSE,Philadelphia,14,20,New York (J),PHI,-6.5,43.5
6,91,FALSE,Detroit,20,6,Tampa Bay,DET,-3.0,43.5
6,92,FALSE,Buffalo,14,9,New York (G),BUF,-15.5,43.5
6,93,FALSE,Dallas,20,17,Los Angeles (C),DAL,-1.5,50.0
7,94,FALSE,New Orleans,24,31,Jacksonville,NO,-2.5,40.5
7,95,FALSE,Baltimore,38,6,Detroit,BAL,-3.0,43.5
7,96,FALSE,Las Vegas,12,30,Chicago,LV,-2.5,38.5
7,97,FALSE,Cleveland,39,38,Indianapolis,CLE,-3.5,39.5
7,98,FALSE,Buffalo,25,29,New England,BUF,-7.5,41.5
7,99,FALSE,Washington,7,14,New York (G),WAS,-3.0,36.5
7,100,FALSE,Tampa Bay,13,16,Atlanta,TB,-3.0,37.5
7,101,FALSE,Los Angeles (R),17,24,Pittsburgh,LAR,-3.0,43.5
7,102,FALSE,Seattle,20,10,Arizona,SEA,-8.5,43.5
7,103,FALSE,Denver,19,17,Green Bay,DEN,-1.0,44.0
7,104,FALSE,Kansas City,31,17,Los Angeles (C),KC,-5.5,48.5
