week,game_id,playoff,home_team,home_score,away_score,away_team,favorite,spread,over_under
1,1,FALSE,New England,27,42,Kansas City,NE,-8.0,47.5
1,2,FALSE,Buffalo,21,12,New York (J),BUF,-7.0,42.0
1,3,FALSE,Atlanta,23,17,Chicago,ATL,-6.5,48.0
1,4,FALSE,Cincinnati,0,20,Baltimore,CIN,-2.5,41.5
1,5,FALSE,Pittsburgh,21,18,Cleveland,PIT,-10.0,47.0
1,6,FALSE,Arizona,23,35,Detroit,ARI,-2.5,48.5
1,7,FALSE,Houston,7,29,Jacksonville,HOU,-5.5,38.0
1,8,FALSE,Tennessee,16,26,Oakland Raiders,TEN,-2.5,49.5
1,9,FALSE,Philadelphia,30,17,Washington,PHI,-2.0,49.5
1,10,FALSE,Los Angeles (R),46,9,Indianapolis,LAR,-3.5,41.5
1,11,FALSE,Green Bay,17,9,Seattle,GB,-2.5,49.5
1,12,FALSE,Carolina,23,3,San Francisco,CAR,-4.5,45.5
1,13,FALSE,Dallas,19,3,New York (G),DAL,-6.0,46.5
1,14,FALSE,Minnesota,29,19,New Orleans,MIN,-3.0,47.5
1,15,FALSE,Denver,24,21,Los Angeles (C),DEN,-3.0,41.5
2,16,FALSE,Cincinnati,9,13,Houston,CIN,-5.0,38.0
2,17,FALSE,Baltimore,24,10,Cleveland,BAL,-7.5,39.5
2,18,FALSE,Carolina,9,3,Buffalo,CAR,-6.5,43.0
2,19,FALSE,Arizona,16,13,Indianapolis,ARI,-7.0,44.0
2,20,FALSE,Tennessee,37,16,Jacksonville,TEN,-1.0,42.0
2,21,FALSE,Kansas City,27,20,Philadelphia,KC,-4.0,46.5
2,22,FALSE,New England,36,20,New Orleans,NE,-5.5,55.0
2,23,FALSE,Pittsburgh,26,9,Minnesota,PIT,-8.5,43.0
2,24,FALSE,Tampa Bay,29,7,Chicago,TB,-7.0,44.0
2,25,FALSE,Los Angeles (C),17,19,Miami,LAC,-3.5,46.0
2,26,FALSE,Oakland Raiders,45,20,New York (J),Oakland Raiders,-14.0,44.0
2,27,FALSE,Dallas,17,42,Denver,DAL,-2.5,44.0
2,28,FALSE,Los Angeles (R),20,27,Washington,LAR,-3.0,46.5
2,29,FALSE,Seattle,12,9,San Francisco,SEA,-13.5,42.0
2,30,FALSE,Atlanta,34,23,Green Bay,ATL,-3.0,55.0
2,31,FALSE,New York (G),10,24,Detroit,NYG,-3.0,42.0
3,32,FALSE,Los Angeles (R),41,39,San Francisco,LAR,-3.0,40.5
3,33,FALSE,Denver,16,26,Buffalo,DEN,-3.5,40.0
3,34,FALSE,Carolina,13,34,New Orleans,CAR,-5.0,46.5
3,35,FALSE,Pittsburgh,17,23,Chicago,PIT,-7.0,43.5
3,36,FALSE,Atlanta,30,26,Detroit,ATL,-3.0,51.0
3,37,FALSE,Cleveland,28,31,Indianapolis,CLE,-1.0,42.0
3,38,FALSE,Minnesota,34,17,Tampa Bay,MIN,,41.0
3,39,FALSE,New England,36,33,Houston,NE,-13.5,44.5
3,40,FALSE,Miami,6,20,New York (J),MIA,-5.5,43.0
3,41,FALSE,Philadelphia,27,24,New York (G),PHI,-5.0,43.0
3,42,FALSE,Tennessee,33,27,Seattle,TEN,-2.0,42.0
3,43,FALSE,Green Bay,27,24,Cincinnati,GB,-7.0,47.5
3,44,FALSE,Kansas City,24,10,Los Angeles (C),KC,-3.0,47.5
3,45,FALSE,Oakland Raiders,10,27,Washington,Oakland Raiders,-3.5,53.5
3,46,FALSE,Baltimore,7,44,Jacksonville,BAL,-3.0,38.0
3,47,FALSE,Dallas,28,17,Arizona,DAL,-3.0,46.5
4,48,FALSE,Green Bay,35,14,Chicago,GB,-7.5,44.0
4,49,FALSE,New Orleans,20,0,Miami,NO,-4.0,51.5
4,50,FALSE,Atlanta,17,23,Buffalo,ATL,-8.0,48.0
4,51,FALSE,Pittsburgh,26,9,Baltimore,PIT,-3.5,42.0
4,52,FALSE,Cincinnati,31,7,Cleveland,CIN,-3.0,41.5
4,53,FALSE,Dallas,30,35,Los Angeles (R),DAL,-5.0,51.0
4,54,FALSE,Tennessee,14,57,Houston,TEN,-2.5,43.0
4,55,FALSE,Minnesota,7,14,Detroit,MIN,-2.5,43.0
4,56,FALSE,New England,30,33,Carolina,NE,-9.0,48.0
4,57,FALSE,Jacksonville,20,23,New York (J),JAX,-4.0,38.5
4,58,FALSE,Arizona,18,15,San Francisco,ARI,-6.0,43.0
4,59,FALSE,Los Angeles (C),24,26,Philadelphia,LAC,-2.0,48.0
4,60,FALSE,Tampa Bay,25,23,New York (G),TB,-2.5,45.5
4,61,FALSE,Denver,16,10,Oakland Raiders,DEN,-3.5,44.0
4,62,FALSE,Seattle,46,18,Indianapolis,SEA,-12.5,41.5
4,63,FALSE,Kansas City,29,20,Washington,KC,-6.5,48.0
5,64,FALSE,New England,19,14,Tampa Bay,NE,-3.5,54.5
5,65,FALSE,Cincinnati,20,16,Buffalo,CIN,-3.0,39.0
5,66,FALSE,New York (J),17,14,Cleveland,NYJ,-1.5,41.5
5,67,FALSE,Detroit,24,27,Carolina,DET,-2.0,42.0
5,68,FALSE,Indianapolis,26,23,San Francisco,IND,-1.0,43.5
5,69,FALSE,Miami,16,10,Tennessee,MIA,,41.5
5,70,FALSE,New York (G),22,27,Los Angeles (C),NYG,-3.0,45.5
5,71,FALSE,Philadelphia,34,7,Arizona,PHI,-6.0,45.0
5,72,FALSE,Pittsburgh,9,30,Jacksonville,PIT,-7.5,41.0
5,73,FALSE,Los Angeles (R),10,16,Seattle,LAR,-2.0,47.0
5,74,FALSE,Oakland Raiders,17,30,Baltimore,Oakland Raiders,-3.0,40.5
5,75,FALSE,Dallas,31,35,Green Bay,DAL,-2.5,52.0
5,76,FALSE,Kansas City,42,34,Houston,KC,-2.0,45.0
5,77,FALSE,Minnesota,20,17,Chicago,MIN,-3.5,41.0
6,78,FALSE,Carolina,23,28,Philadelphia,CAR,-3.0,44.0
6,79,FALSE,Atlanta,17,20,Miami,ATL,-14.0,46.0
6,80,FALSE,Baltimore,24,27,Chicago,BAL,-5.5,39.5
6,81,FALSE,Houston,33,17,Cleveland,HOU,-7.5,46.0
6,82,FALSE,Green Bay,10,23,Minnesota,GB,-3.0,46.0
6,83,FALSE,New Orleans,52,38,Detroit,NO,-6.0,50.5
6,84,FALSE,New England,24,17,New York (J),NE,-9.0,48.5
6,85,FALSE,Washington,26,24,San Francisco,WAS,-12.0,46.0
6,86,FALSE,Tampa Bay,33,38,Arizona,TB,-2.5,46.5
6,87,FALSE,Jacksonville,17,27,Los Angeles (R),JAX,-1.0,42.0
6,88,FALSE,Kansas City,13,19,Pittsburgh,KC,-3.5,46.0
6,89,FALSE,Oakland Raiders,16,17,Los Angeles (C),Oakland Raiders,-3.0,48.5
6,90,FALSE,Denver,10,23,New York (G),DEN,-13.5,37.5
6,91,FALSE,Tennessee,36,22,Indianapolis,TEN,-7.0,46.0
7,92,FALSE,Kansas City,30,31,Oakland Raiders,KC,-3.0,46.5
7,93,FALSE,Buffalo,30,27,Tampa Bay,BUF,-3.0,46.5
7,94,FALSE,Carolina,3,17,Chicago,CAR,-2.5,39.5
7,95,FALSE,Tennessee,12,9,Cleveland,TEN,-5.5,42.5
7,96,FALSE,New Orleans,26,17,Green Bay,NO,-3.5,45.5
7,97,FALSE,Jacksonville,27,0,Indianapolis,JAX,-3.0,41.0
7,98,FALSE,Los Angeles (R),33,0,Arizona,LAR,-3.0,45.5
7,99,FALSE,Miami,31,28,New York (J),MIA,-3.0,40.0
7,100,FALSE,Minnesota,24,16,Baltimore,MIN,-5.0,37.5
7,101,FALSE,Dallas,40,10,San Francisco,DAL,-6.5,48.0
7,102,FALSE,Denver,0,21,Los Angeles (C),DEN,-1.0,41.0
7,103,FALSE,Seattle,24,7,New York (G),SEA,-4.0,39.0
