week,game_id,playoff,home_team,home_score,away_score,away_team,favorite,spread,over_under
13,182,FALSE,Baltimore,10,9,Denver,BAL,-9,40
13,183,FALSE,Minnesota,27,22,New York (J),MIN,-3,44
13,184,FALSE,Philedelphia,35,10,Tennessee,PHI,-4.5,44.5
13,185,FALSE,Houston,14,27,Cleveland,CLE,-7.5,46.5
13,186,FALSE,New York (G),20,20,Washington,WAS,-2.5,40.5
13,187,FALSE,Detroit,40,14,Jacksonville,DET,-1,51
13,188,FALSE,Atlanta,16,19,Pittsburgh,PIT,-1.5,43
13,189,FALSE,Chicago,19,28,Green Bay,GB,-3.5,45
13,190,FALSE,San Francisco,33,17,Miami,SF,-5,45.5
13,191,FALSE,Los Angeles (R),23,27,Seattle,SEA,-6.5,41
13,192,FALSE,Cincinnati,27,24,Kansas City,KC,-2.5,53.5
13,193,FALSE,Las Vegas,27,20,Los Angeles (C),LVR,-2.5,49.5
13,194,FALSE,Dallas,54,19,Indianapolis,DAL,-11,44.5
13,195,FALSE,Tampa Bay,17,16,New Orleans,TB,-3,40.5
14,196,FALSE,Los Angeles (R),17,16,Las Vegas,LVR,-6.5,41.5
14,197,FALSE,Detroit,34,23,Minnesota,DET,-2,51.5
14,198,FALSE,New York (G),22,48,Philedelphia,PHI,-7,44.5
14,199,FALSE,Buffalo,20,12,New York (J),BUF,-10,43.5
14,200,FALSE,Cincinnati,23,10,Cleveland,CIN,-4,47
14,201,FALSE,Dallas,27,23,Houston,DAL,-17,44.5
14,202,FALSE,Tennessee,22,36,Jacksonville,TEN,-3,41.5
14,203,FALSE,Pittsburgh,14,16,Baltimore,PIT,-2,37
14,204,FALSE,Denver,28,34,Kansas City,KC,-9,44
14,205,FALSE,Seattle,24,30,Carolina,SEA,-4,44
14,206,FALSE,San Francisco,35,7,Tampa Bay,SF,-3.5,38.5
14,207,FALSE,Los Angeles (C),23,17,Miami,MIA,-3,55
14,208,FALSE,Arizona,13,27,New England,NE,-2.5,44
15,209,FALSE,Seattle,13,21,San Francisco,SF,-3,42.5
15,210,FALSE,Minnesota,39,36,Indianapolis,MIN,-3.5,47
15,211,FALSE,Cleveland,13,3,Baltimore,CLE,-3,39
15,212,FALSE,Buffalo,32,29,Miami,BUF,-7,43.5
15,213,FALSE,Chicago,20,25,Philedelphia,PHI,-8.5,48
15,214,FALSE,Houston,24,30,Kansas City,KC,-14.5,48.5
15,215,FALSE,Jacksonville,40,34,Dallas,DAL,-4,48
15,216,FALSE,New York (J),17,20,Detroit,NYJ,-2,44
15,217,FALSE,New Orleans,21,18,Atlanta,NO,-5,43.5
15,218,FALSE,Carolina,16,24,Pittsburgh,CAR,-2.5,37
15,219,FALSE,Denver,24,15,Arizona,DEN,-1.5,37
15,220,FALSE,Las Vegas,30,24,New England,LVR,-2.5,45.5
15,221,FALSE,Tampa Bay,23,34,Cincinnati,CIN,-3.5,47.5
15,222,FALSE,Los Angeles (C),17,14,Tennessee,LAC,-3,46.5
15,223,FALSE,Washington,12,20,New York (G),WAS,-4,40.5
