favored_team,times_favored,covered,game_count
Buffalo,2,Not Covered,2
Cincinnati,1,Not Covered,1
Dallas,1,Covered,1
Kansas City,2,Covered,1
,,Not Covered,1
Los Angeles (C),1,Not Covered,1
Minnesota,1,Not Covered,1
Philadelphia,3,Covered,2
,,Not Covered,1
San Francisco,2,Covered,2
