week,game_id,playoff,home_team,home_score,away_score,away_team,favorite,spread,over_under
6,90,FALSE,Los Angeles (R),24,10,Carolina,LAR,-10,41.5
6,91,FALSE,Seattle,19,9,Arizona,ARI,-2.5,50.5
6,92,FALSE,Kansas City,20,24,Buffalo,BUF,-2.5,54
6,93,FALSE,Philadelphia,26,17,Dallas,PHI,-6.5,42
6,94,FALSE,Los Angeles (C),19,16,Denver,LAC,-4.5,45.5
7,95,FALSE,Arizona,42,34,New Orleans,ARI,-2.5,44
7,96,FALSE,Baltimore,23,20,Cleveland,BAL,-6.5,45.5
7,97,FALSE,Carolina,21,3,Tampa Bay,TB,-13,39.5
7,98,FALSE,Cincinnati,35,17,Atlanta,CIN,-6.5,47
7,99,FALSE,Dallas,24,6,Detroit,DAL,-6.5,49
7,100,FALSE,Jacksonville,17,23,New York (G),JAX,-3,43.5
7,101,FALSE,Tennessee,19,10,Indianapolis,TEN,-2.5,41.5
7,102,FALSE,Washington,23,21,Green Bay,GB,-4.5,41.5
7,103,FALSE,Denver,9,16,New York (J),NYJ,-1.5,37
7,104,FALSE,Las Vegas,38,20,Houston,LV,-7,46
7,105,FALSE,Los Angeles (C),23,37,Seattle,LAC,-4.5,50.5
7,106,FALSE,San Francisco,23,44,Kansas City,KC,-1,49
7,107,FALSE,Miami,16,10,Pittsburgh,MIA,-7.5,44.5
7,108,FALSE,New England,14,33,Chicago,NE,-8.5,40.5
8,109,FALSE,Tampa Bay,22,27,Baltimore,TB,-1.5,45.5
8,110,FALSE,Jacksonville,17,21,Denver,JAX,-2,40.5
8,111,FALSE,Atlanta,37,34,Carolina,ATL,-4,41
8,112,FALSE,Dallas,49,29,Chicago,DAL,-10,42.5
8,113,FALSE,Detroit,27,31,Miami,MIA,-3.5,51.5
8,114,FALSE,Minnesota,34,26,Arizona,MIN,-3.5,48.5
8,115,FALSE,New Orleans,24,0,Las Vegas,LV,-1.5,49.5
8,116,FALSE,New York (J),17,22,New England,NE,-2.5,40
8,117,FALSE,Philadelphia,35,13,Pittsburgh,PHI,-10.5,43
8,118,FALSE,Houston,10,17,Tennessee,TEN,-3.5,39
8,119,FALSE,Seattle,27,13,New York (G),SEA,-3,44.5
8,120,FALSE,Indianapolis,16,17,Washington,IND,-3,39.5
8,121,FALSE,Los Angeles (R),14,31,San Francisco,LAR,-2.5,42
8,122,FALSE,Buffalo,27,17,Green Bay,BUF,-10.5,47
8,123,FALSE,Cleveland,32,13,Cincinnati,CIN,-3,45
9,124,FALSE,Houston,17,29,Philadelphia,PHI,-13.5,45.5
9,125,FALSE,Atlanta,17,20,Los Angeles (C),LAC,-3,49.5
9,126,FALSE,Chicago,32,35,Miami,MIA,-4,45.5
9,127,FALSE,Cincinnati,42,21,Carolina,CIN,-7,42.5
9,128,FALSE,Detroit,15,9,Green Bay,GB,-3.5,49.5
9,129,FALSE,Jacksonville,27,20,Las Vegas,LV,-2.5,48
9,130,FALSE,New England,26,3,Indianapolis,NE,-5,40.5
9,131,FALSE,New York (J),20,17,Buffalo,BUF,-11,46
9,132,FALSE,Washington,17,20,Minnesota,MIN,-3,43.5
9,133,FALSE,Arizona,21,31,Seattle,ARI,-2,49
9,134,FALSE,Tampa Bay,16,13,Los Angeles (R),TB,-3,42.5
9,135,FALSE,Kansas City,20,17,Tennessee,KC,-12.5,45.5
9,136,FALSE,New Orleans,13,27,Baltimore,BAL,-1.5,46.5
10,137,FALSE,Carolina,25,15,Atlanta,ATL,-2.5,41.5
10,138,FALSE,Tampa Bay,21,16,Seattle,TB,-2.5,45
10,139,FALSE,Buffalo,30,33,Minnesota,BUF,-6.5,44.5
10,140,FALSE,Chicago,30,31,Detroit,CHI,-2.5,48.5
10,141,FALSE,Kansas City,27,17,Jacksonville,KC,-9,51
10,142,FALSE,Miami,39,17,Cleveland,MIA,-3.5,49.5
10,143,FALSE,New York (G),24,16,Houston,NYG,-4.5,41
10,144,FALSE,Pittsburgh,20,10,New Orleans,PIT,-1,40
10,145,FALSE,Tennessee,17,10,Denver,TEN,-2.5,39
10,146,FALSE,Las Vegas,20,25,Indianapolis,LV,-4,41
10,147,FALSE,Green Bay,31,28,Dallas,DAL,-4,44.5
10,148,FALSE,Los Angeles (R),17,27,Arizona,LAR,-2.5,39.5
10,149,FALSE,San Francisco,22,16,Los Angeles (C),SF,-7.5,45
10,150,FALSE,Philadelphia,21,32,Washington,PHI,-10.5,43.5
11,151,FALSE,Green Bay,17,27,Tennessee,GB,-3,41
11,152,FALSE,Atlanta,27,24,Chicago,ATL,-2.5,49
11,153,FALSE,Baltimore,13,3,Carolina,BAL,-13,41.5
11,154,FALSE,Buffalo,31,23,Cleveland,BUF,-7.5,50
11,155,FALSE,Houston,10,23,Washington,WAS,-3,41
11,156,FALSE,Indianapolis,16,17,Philadelphia,PHI,-6.5,45.5
11,157,FALSE,New England,10,3,New York (J),NE,-3.5,38
11,158,FALSE,New Orleans,27,20,Los Angeles (R),NO,-2.5,39
11,159,FALSE,New York (G),18,31,Detroit,NYG,-3,44.5
11,160,FALSE,Denver,16,22,Las Vegas,DEN,-2.5,41
11,161,FALSE,Minnesota,3,40,Dallas,DAL,-1.5,48.5
11,162,FALSE,Pittsburgh,30,37,Cincinnati,CIN,-3.5,40
11,163,FALSE,Los Angeles (C),27,30,Kansas City,KC,-5,52.5
11,164,FALSE,Arizona,10,38,San Francisco,SF,-8,43
12,165,FALSE,Detroit,25,28,Buffalo,BUF,-9.5,54.5
12,166,FALSE,Dallas,28,20,New York (G),DAL,-10,45.5
12,167,FALSE,Minnesota,33,26,New England,MIN,-2.5,42.5
12,168,FALSE,Carolina,23,10,Denver,DEN,-1,36
12,169,FALSE,Cleveland,23,17,Tampa Bay,TB,-3,42
12,170,FALSE,Jacksonville,28,27,Baltimore,BAL,-3.5,43
12,171,FALSE,Miami,30,15,Houston,MIA,-14,47
12,172,FALSE,New York (J),31,10,Chicago,NYJ,-7,38.5
12,173,FALSE,Tennessee,16,20,Cincinnati,CIN,-1.5,43
12,174,FALSE,Washington,19,13,Atlanta,WAS,-4,40.5
12,175,FALSE,Arizona,24,25,Los Angeles (C),LAC,-2.5,48.5
12,176,FALSE,Seattle,34,40,Las Vegas,SEA,-4,47.5
12,177,FALSE,Kansas City,26,10,Los Angeles (R),KC,-15.5,42
12,178,FALSE,San Francisco,13,0,New Orleans,SF,-9,43
12,179,FALSE,Philadelphia,40,33,Green Bay,PHI,-6.5,46
12,180,FALSE,Indianapolis,17,24,Pittsburgh,IND,-2.5,39.5
13,181,FALSE,New England,10,24,Buffalo,BUF,-3.5,43.5
13,182,FALSE,Atlanta,16,19,Pittsburgh,PIT,-1,43
13,183,FALSE,Baltimore,10,9,Denver,BAL,-9.5,39.5
13,184,FALSE,Chicago,19,28,Green Bay,GB,-4.5,45
13,185,FALSE,Detroit,40,14,Jacksonville,DET,-1,51
13,186,FALSE,Houston,14,27,Cleveland,CLE,-8,46.5
13,187,FALSE,Minnesota,27,22,New York (J),MIN,-3,44.5
13,188,FALSE,New York (G),20,20,Washington,WAS,-2,40.5
